state,category,number,date
cnmi,Neighborhood Groups,0,2022-06-05
cnmi,Preparedness Organizations,0,2022-06-05
cnmi,Faith-based Organizations,0,2022-06-05
cnmi,"Museums, Libraries, Parks, etc.",0,2022-06-05
cnmi,Animal Shelter/Service Providers,0,2022-06-05
cnmi,Agriculture/Livestock Sector,0,2022-06-05
cnmi,Volunteer Radio Groups,0,2022-06-05
cnmi,Science/Engineering Organizations,0,2022-06-05
cnmi,Media Organizations,0,2022-06-05
cnmi,Other,0,2022-06-05
colorado,"<tr><td align=""left""><a href=""https://www.shakeout.org/colorado/participant_list.php?start=colorado&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">7</td></tr>",7,2022-06-05
colorado,Childcare and Pre-Schools,0,2022-06-05
colorado,K-12 Schools and Districts,0,2022-06-05
colorado,Colleges and Universities,0,2022-06-05
colorado,Local Government,0,2022-06-05
colorado,State Government,0,2022-06-05
colorado,Federal/National Government (Including Military),0,2022-06-05
colorado,Tribes/Indigenous Peoples,0,2022-06-05
colorado,Businesses,0,2022-06-05
colorado,Hotels and Other Lodgings,0,2022-06-05
colorado,Healthcare,0,2022-06-05
colorado,Senior Facilities/Communities,0,2022-06-05
colorado,Disability/AFN Organizations,0,2022-06-05
colorado,Non-Profit Organizations,0,2022-06-05
colorado,Neighborhood Groups,0,2022-06-05
colorado,Preparedness Organizations,0,2022-06-05
colorado,Faith-based Organizations,0,2022-06-05
colorado,"Museums, Libraries, Parks, etc.",0,2022-06-05
colorado,Animal Shelter/Service Providers,0,2022-06-05
colorado,Agriculture/Livestock Sector,0,2022-06-05
colorado,Volunteer Radio Groups,0,2022-06-05
colorado,Science/Engineering Organizations,0,2022-06-05
colorado,Media Organizations,0,2022-06-05
colorado,Other,0,2022-06-05
guam,"<tr><td align=""left""><a href=""https://www.shakeout.org/guam/participant_list.php?start=guam&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-05
guam,Childcare and Pre-Schools,0,2022-06-05
guam,K-12 Schools and Districts,0,2022-06-05
guam,Colleges and Universities,0,2022-06-05
guam,Local Government,0,2022-06-05
guam,Federal/National Government (Including Military),0,2022-06-05
guam,Businesses,0,2022-06-05
guam,Hotels and Other Lodgings,0,2022-06-05
guam,Healthcare,0,2022-06-05
guam,Disability/AFN Organizations,0,2022-06-05
guam,Non-Profit Organizations,0,2022-06-05
guam,Neighborhood Groups,0,2022-06-05
guam,Faith-based Organizations,0,2022-06-05
guam,"Museums, Libraries, Parks, etc.",0,2022-06-05
guam,Media Organizations,0,2022-06-05
guam,Other,0,2022-06-05
hawaii,"<tr><td align=""left""><a href=""https://www.shakeout.org/hawaii/participant_list.php?start=hawaii&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-05
hawaii,Childcare and Pre-Schools,0,2022-06-05
hawaii,K-12 Schools and Districts,0,2022-06-05
hawaii,Colleges and Universities,0,2022-06-05
hawaii,Local Government,0,2022-06-05
hawaii,State Government,80,2022-06-05
hawaii,Federal/National Government (Including Military),0,2022-06-05
hawaii,Tribes/Indigenous Peoples,0,2022-06-05
hawaii,Businesses,0,2022-06-05
