state,category,number,date
cnmi,Neighborhood Groups,0,2022-06-14
cnmi,Preparedness Organizations,0,2022-06-14
cnmi,Faith-based Organizations,0,2022-06-14
cnmi,"Museums, Libraries, Parks, etc.",0,2022-06-14
cnmi,Animal Shelter/Service Providers,0,2022-06-14
cnmi,Agriculture/Livestock Sector,0,2022-06-14
cnmi,Volunteer Radio Groups,0,2022-06-14
cnmi,Science/Engineering Organizations,0,2022-06-14
cnmi,Media Organizations,0,2022-06-14
cnmi,Other,0,2022-06-14
colorado,"<tr><td align=""left""><a href=""https://www.shakeout.org/colorado/participant_list.php?start=colorado&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">7</td></tr>",7,2022-06-14
colorado,Childcare and Pre-Schools,0,2022-06-14
colorado,K-12 Schools and Districts,0,2022-06-14
colorado,Colleges and Universities,0,2022-06-14
colorado,Local Government,0,2022-06-14
colorado,State Government,0,2022-06-14
colorado,Federal/National Government (Including Military),0,2022-06-14
colorado,Tribes/Indigenous Peoples,0,2022-06-14
colorado,Businesses,0,2022-06-14
colorado,Hotels and Other Lodgings,0,2022-06-14
colorado,Healthcare,0,2022-06-14
colorado,Senior Facilities/Communities,0,2022-06-14
colorado,Disability/AFN Organizations,0,2022-06-14
colorado,Non-Profit Organizations,0,2022-06-14
colorado,Neighborhood Groups,0,2022-06-14
colorado,Preparedness Organizations,0,2022-06-14
colorado,Faith-based Organizations,0,2022-06-14
colorado,"Museums, Libraries, Parks, etc.",0,2022-06-14
colorado,Animal Shelter/Service Providers,0,2022-06-14
colorado,Agriculture/Livestock Sector,0,2022-06-14
colorado,Volunteer Radio Groups,0,2022-06-14
colorado,Science/Engineering Organizations,0,2022-06-14
colorado,Media Organizations,0,2022-06-14
colorado,Other,0,2022-06-14
guam,"<tr><td align=""left""><a href=""https://www.shakeout.org/guam/participant_list.php?start=guam&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-14
guam,Childcare and Pre-Schools,0,2022-06-14
guam,K-12 Schools and Districts,0,2022-06-14
guam,Colleges and Universities,0,2022-06-14
guam,Local Government,0,2022-06-14
guam,Federal/National Government (Including Military),0,2022-06-14
guam,Businesses,0,2022-06-14
guam,Hotels and Other Lodgings,0,2022-06-14
guam,Healthcare,0,2022-06-14
guam,Disability/AFN Organizations,0,2022-06-14
guam,Non-Profit Organizations,0,2022-06-14
guam,Neighborhood Groups,0,2022-06-14
guam,Faith-based Organizations,0,2022-06-14
guam,"Museums, Libraries, Parks, etc.",0,2022-06-14
guam,Media Organizations,0,2022-06-14
guam,Other,0,2022-06-14
hawaii,"<tr><td align=""left""><a href=""https://www.shakeout.org/hawaii/participant_list.php?start=hawaii&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">7</td></tr>",7,2022-06-14
hawaii,Childcare and Pre-Schools,0,2022-06-14
hawaii,K-12 Schools and Districts,800,2022-06-14
hawaii,Colleges and Universities,0,2022-06-14
hawaii,Local Government,0,2022-06-14
hawaii,State Government,80,2022-06-14
hawaii,Federal/National Government (Including Military),0,2022-06-14
hawaii,Tribes/Indigenous Peoples,0,2022-06-14
hawaii,Businesses,0,2022-06-14
hawaii,Hotels and Other Lodgings,0,2022-06-14
hawaii,Healthcare,0,2022-06-14
hawaii,Senior Facilities/Communities,15,2022-06-14
hawaii,Disability/AFN Organizations,0,2022-06-14
hawaii,Non-Profit Organizations,0,2022-06-14
hawaii,Neighborhood Groups,0,2022-06-14
hawaii,Preparedness Organizations,0,2022-06-14
hawaii,Faith-based Organizations,0,2022-06-14
hawaii,"Museums, Libraries, Parks, etc.",0,2022-06-14
hawaii,Animal Shelter/Service Providers,0,2022-06-14
hawaii,Agriculture/Livestock Sector,0,2022-06-14
hawaii,Volunteer Radio Groups,0,2022-06-14
hawaii,Science/Engineering Organizations,0,2022-06-14
hawaii,Media Organizations,0,2022-06-14
hawaii,Other,0,2022-06-14
idaho,"<tr><td align=""left""><a href=""https://www.shakeout.org/idaho/participant_list.php?start=idaho&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">10</td></tr>",10,2022-06-14
idaho,Childcare and Pre-Schools,0,2022-06-14
idaho,K-12 Schools and Districts,0,2022-06-14
idaho,Colleges and Universities,0,2022-06-14
idaho,Local Government,2,2022-06-14
idaho,State Government,0,2022-06-14
idaho,Federal/National Government (Including Military),0,2022-06-14
idaho,Tribes/Indigenous Peoples,0,2022-06-14
idaho,Businesses,0,2022-06-14
idaho,Hotels and Other Lodgings,0,2022-06-14
idaho,Healthcare,216,2022-06-14
idaho,Senior Facilities/Communities,0,2022-06-14
idaho,Disability/AFN Organizations,0,2022-06-14
idaho,Non-Profit Organizations,0,2022-06-14
idaho,Neighborhood Groups,0,2022-06-14
idaho,Preparedness Organizations,0,2022-06-14
idaho,Faith-based Organizations,0,2022-06-14
idaho,"Museums, Libraries, Parks, etc.",0,2022-06-14
idaho,Animal Shelter/Service Providers,0,2022-06-14
idaho,Agriculture/Livestock Sector,0,2022-06-14
idaho,Volunteer Radio Groups,0,2022-06-14
idaho,Science/Engineering Organizations,0,2022-06-14
idaho,Media Organizations,0,2022-06-14
idaho,Other,0,2022-06-14
montana,"<tr><td align=""left""><a href=""https://www.shakeout.org/montana/participant_list.php?start=montana&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">2</td></tr>",2,2022-06-14
montana,Childcare and Pre-Schools,0,2022-06-14
montana,K-12 Schools and Districts,699,2022-06-14
montana,Colleges and Universities,0,2022-06-14
montana,Local Government,0,2022-06-14
montana,State Government,50,2022-06-14
montana,Federal/National Government (Including Military),0,2022-06-14
montana,Tribes/Indigenous Peoples,0,2022-06-14
montana,Businesses,0,2022-06-14
montana,Hotels and Other Lodgings,0,2022-06-14
montana,Healthcare,205,2022-06-14
montana,Senior Facilities/Communities,0,2022-06-14
montana,Disability/AFN Organizations,0,2022-06-14
montana,Non-Profit Organizations,0,2022-06-14
montana,Neighborhood Groups,0,2022-06-14
montana,Preparedness Organizations,0,2022-06-14
montana,Faith-based Organizations,0,2022-06-14
montana,"Museums, Libraries, Parks, etc.",0,2022-06-14
montana,Animal Shelter/Service Providers,0,2022-06-14
montana,Agriculture/Livestock Sector,0,2022-06-14
montana,Volunteer Radio Groups,0,2022-06-14
montana,Science/Engineering Organizations,0,2022-06-14
montana,Media Organizations,0,2022-06-14
montana,Other,0,2022-06-14
nevada,"<tr><td align=""left""><a href=""https://www.shakeout.org/nevada/participant_list.php?start=nevada&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">9</td></tr>",9,2022-06-14
nevada,Childcare and Pre-Schools,105,2022-06-14
nevada,K-12 Schools and Districts,938,2022-06-14
nevada,Colleges and Universities,0,2022-06-14
nevada,Local Government,0,2022-06-14
nevada,State Government,0,2022-06-14
nevada,Federal/National Government (Including Military),0,2022-06-14
nevada,Tribes/Indigenous Peoples,0,2022-06-14
nevada,Businesses,100,2022-06-14
nevada,Hotels and Other Lodgings,0,2022-06-14
nevada,Healthcare,423,2022-06-14
nevada,Senior Facilities/Communities,0,2022-06-14
nevada,Disability/AFN Organizations,10,2022-06-14
nevada,Non-Profit Organizations,4,2022-06-14
nevada,Neighborhood Groups,0,2022-06-14
nevada,Preparedness Organizations,0,2022-06-14
nevada,Faith-based Organizations,0,2022-06-14
nevada,"Museums, Libraries, Parks, etc.",0,2022-06-14
